id,id_infraestructura,id_nodo,amenaza,probabilidad_falla,sucede_falla
285,252558982.0,,cierre_calle,0.01,False
286,448396051.0,,cierre_calle,0.01,False
287,627916820.0,,cierre_calle,0.01,False
288,852527690.0,,cierre_calle,0.01,False
289,1033412481.0,,cierre_calle,0.01,False
290,1033412482.0,,cierre_calle,0.01,False
291,1033412483.0,,cierre_calle,0.01,False
292,1289551061.0,,cierre_calle,0.01,False
293,20.0,,cierre_calle,0.01,False
294,787.0,,cierre_calle,0.01,False
295,935.0,,cierre_calle,0.01,False
296,936.0,,cierre_calle,0.01,False
297,937.0,,cierre_calle,0.01,False
298,938.0,,cierre_calle,0.01,False
299,1302.0,,cierre_calle,0.01,False
300,1303.0,,cierre_calle,0.01,False
301,1304.0,,cierre_calle,0.01,False
302,1307.0,,cierre_calle,0.01,True
303,1308.0,,cierre_calle,0.01,False
304,1309.0,,cierre_calle,0.01,False
305,1311.0,,cierre_calle,0.01,False
306,1624.0,,cierre_calle,0.01,False
307,1625.0,,cierre_calle,0.01,False
308,1833.0,,cierre_calle,0.01,False
309,2367.0,,cierre_calle,0.01,False
310,2368.0,,cierre_calle,0.01,False
311,2369.0,,cierre_calle,0.01,False
312,2370.0,,cierre_calle,0.01,False
313,2371.0,,cierre_calle,0.01,False
314,2372.0,,cierre_calle,0.01,False
315,2373.0,,cierre_calle,0.01,False
316,2649.0,,cierre_calle,0.01,False
317,448396053.0,,cierre_calle,0.01,False
318,1310.0,,cierre_calle,0.01,False
319,1306.0,,cierre_calle,0.01,False
320,448396052.0,,cierre_calle,0.01,False
321,1305.0,,cierre_calle,0.01,False
322,8000738.0,,cierre_calle,0.01,False
323,442129508.0,,cierre_calle,0.01,False
324,926122724.0,,cierre_calle,0.01,False
325,21.0,,cierre_calle,0.01,False
326,1111.0,,cierre_calle,0.01,False
327,1929.0,,cierre_calle,0.01,False
328,8000752.0,,cierre_calle,0.01,False
329,106288154.0,,cierre_calle,0.01,False
330,179550004.0,,cierre_calle,0.01,False
331,442511190.0,,cierre_calle,0.01,False
332,442511191.0,,cierre_calle,0.01,False
333,442511193.0,,cierre_calle,0.01,False
334,448570631.0,,cierre_calle,0.01,False
335,596638044.0,,cierre_calle,0.01,False
336,596638046.0,,cierre_calle,0.01,False
337,646132799.0,,cierre_calle,0.01,False
338,742680093.0,,cierre_calle,0.01,False
339,850714880.0,,cierre_calle,0.01,False
340,850714883.0,,cierre_calle,0.01,False
341,851314983.0,,cierre_calle,0.01,False
342,851314984.0,,cierre_calle,0.01,False
343,851314986.0,,cierre_calle,0.01,False
344,851314987.0,,cierre_calle,0.01,False
345,1012620032.0,,cierre_calle,0.01,False
346,1012621056.0,,cierre_calle,0.01,False
347,1012621057.0,,cierre_calle,0.01,False
348,1012621058.0,,cierre_calle,0.01,False
349,1012625460.0,,cierre_calle,0.01,False
350,1301147853.0,,cierre_calle,0.01,False
351,22.0,,cierre_calle,0.01,False
352,497.0,,cierre_calle,0.01,False
353,498.0,,cierre_calle,0.01,False
354,642.0,,cierre_calle,0.01,False
355,643.0,,cierre_calle,0.01,False
356,644.0,,cierre_calle,0.01,False
357,645.0,,cierre_calle,0.01,False
358,718.0,,cierre_calle,0.01,False
359,1119.0,,cierre_calle,0.01,False
360,1120.0,,cierre_calle,0.01,False
361,1122.0,,cierre_calle,0.01,False
362,1123.0,,cierre_calle,0.01,False
363,1124.0,,cierre_calle,0.01,False
364,1351.0,,cierre_calle,0.01,False
365,1361.0,,cierre_calle,0.01,False
366,1536.0,,cierre_calle,0.01,False
367,1537.0,,cierre_calle,0.01,False
368,1658.0,,cierre_calle,0.01,False
369,1793.0,,cierre_calle,0.01,False
370,1810.0,,cierre_calle,0.01,False
371,1813.0,,cierre_calle,0.01,False
372,1815.0,,cierre_calle,0.01,False
373,1816.0,,cierre_calle,0.01,False
374,1818.0,,cierre_calle,0.01,False
375,1819.0,,cierre_calle,0.01,False
376,2334.0,,cierre_calle,0.01,False
377,2335.0,,cierre_calle,0.01,False
378,2336.0,,cierre_calle,0.01,False
